#uname,last,rest,email,parent,teacher
#,,,,,
smcd,McDichael,Sleve,mcdichael@somehost.net,senior.mcd@somehost.net,zoro
osweemey,Sweemy,Onson,onson@notmail.com,onsonsmom@something.whatever,friz
darch,Archideld,Darryl,darch@asdf.jkl,jkl@asdf.com,zoro
smorin,Smorin,Anatoli,tolly@what.ever,smorin@yandex.ru,friz
sriff,McSriff,Rey,elrey@hispanophone.org,donamcsriff@hispanophone.org,zoro
mario,McRlwain,Mario,not.that.mario@somehost.net,mama@mia.int,friz
rcham,Chamgerlain,Raul,another@email.address,yetanother@email.address,zoro
nog,Nogilny,Kevin,kevin@pmail.com,sergei@pmail.com,friz
smehrik,Smehrik,Tony,tony@pmail.com,natalya@pmail.com,zoro
bobdug,Dugnutt,Bobson,the.legend@nintendo.history,someones.dad@sameplace.com,friz
truk,Truk,Mike,lilmikey@somewhere.frog,bigmike@somewhere.frog,zoro
tbone,Bonzalez,Todd,bonzo@hispanophone.org,whoever@wherever.not,friz
#,,,,,
wdust,Dustice,Wilhelmina,willie@somehost.net,fdsa@fdsa.frog,zoro
gride,Gride,Jarah,jg@asdf.jkl,brenda@asdf.jkl,friz
dork,Dourque,Cassidy,dork@somehost.net,bob@whatever.idk,zoro
fur,Furcotte,Showna,sf@what.ever,yhn@ujm.ikl,friz
wesrey,Wesrey,Deanna,i.love.dolphins42224@pmail.com,blarg@nowhere.not,zoro
rory,Rortugal,Hepsebah,hep-see@terriblenicknames.org,yxd0122@yandex.ru,friz
sandy,Sandaele,Tina,tina@pmail.com,tony@pmail.com,zoro
dandy,Dandleton,Karla,karla@pmail.com,carlos@pmail.com,friz
mser,Sernandez,Michaela,mickey@pmail.com,mikey@pmail.com,zoro
ab,Bananna,Anna,ab@bananas.net,ba@bananas.net,friz
mm,Malaria,Minnie,tiny.disease@who.int,cholera@deadlydiseases.org,zoro
wed,Adams,Wednesday,black@likemysoul.org,morticia@hotmail.com,friz
